id,name,state_id.id,ciudad_id.id
municipio_1,Álvaro Obregón,base.state_mx_df,ciudad_1
municipio_2,Azcapotzalco,base.state_mx_df,ciudad_1
municipio_3,Benito Juárez,base.state_mx_df,ciudad_1
municipio_4,Coyoacán,base.state_mx_df,ciudad_1
municipio_5,Cuajimalpa de Morelos,base.state_mx_df,ciudad_1
municipio_6,Cuauhtémoc,base.state_mx_df,ciudad_1
municipio_7,Gustavo A. Madero,base.state_mx_df,ciudad_1
municipio_8,Iztacalco,base.state_mx_df,ciudad_1
municipio_9,Iztapalapa,base.state_mx_df,ciudad_1
municipio_10,La Magdalena Contreras,base.state_mx_df,ciudad_1
municipio_11,Miguel Hidalgo,base.state_mx_df,ciudad_1
municipio_12,Milpa Alta,base.state_mx_df,ciudad_1
municipio_13,Tláhuac,base.state_mx_df,ciudad_1
municipio_14,Tlalpan,base.state_mx_df,ciudad_1
municipio_15,Venustiano Carranza,base.state_mx_df,ciudad_1
municipio_16,Xochimilco,base.state_mx_df,ciudad_1
municipio_36,Jesús María,base.state_mx_ags,ciudad_10
municipio_336,Ojinaga,base.state_mx_chih,ciudad_100
municipio_339,Aldama,base.state_mx_chih,ciudad_101
municipio_342,Delicias,base.state_mx_chih,ciudad_102
municipio_373,Saucillo,base.state_mx_chih,ciudad_103
municipio_378,Camargo,base.state_mx_chih,ciudad_104
municipio_379,Hidalgo del Parral,base.state_mx_chih,ciudad_105
municipio_385,Jiménez,base.state_mx_chih,ciudad_106
municipio_387,Durango,base.state_mx_dgo,ciudad_107
municipio_391,Canatlán,base.state_mx_dgo,ciudad_108
municipio_393,San Juan del Río,base.state_mx_dgo,ciudad_109
municipio_37,Mexicali,base.state_mx_bc,ciudad_11
municipio_399,Santiago Papasquiaro,base.state_mx_dgo,ciudad_110
municipio_404,Peñón Blanco,base.state_mx_dgo,ciudad_111
municipio_406,Pánuco de Coronado,base.state_mx_dgo,ciudad_112
municipio_408,Nombre de Dios,base.state_mx_dgo,ciudad_113
municipio_410,Vicente Guerrero,base.state_mx_dgo,ciudad_114
municipio_413,Pueblo Nuevo,base.state_mx_dgo,ciudad_115
municipio_416,Gómez Palacio,base.state_mx_dgo,ciudad_116
municipio_418,Lerdo,base.state_mx_dgo,ciudad_117
municipio_430,El Oro,base.state_mx_dgo,ciudad_118
municipio_438,Guanajuato,base.state_mx_gto,ciudad_119
municipio_38,Tecate,base.state_mx_bc,ciudad_12
municipio_439,Silao,base.state_mx_gto,ciudad_120
municipio_440,Romita,base.state_mx_gto,ciudad_121
municipio_443,Guanajuato,base.state_mx_gto,ciudad_122
municipio_445,San Francisco del Rincón,base.state_mx_gto,ciudad_123
municipio_446,Purísima del Rincón,base.state_mx_gto,ciudad_124
municipio_449,Manuel Doblado,base.state_mx_gto,ciudad_125
municipio_451,Irapuato,base.state_mx_gto,ciudad_126
municipio_452,Salamanca,base.state_mx_gto,ciudad_127
municipio_456,Pénjamo,base.state_mx_gto,ciudad_128
municipio_458,Cuerámaro,base.state_mx_gto,ciudad_129
municipio_41,Mexicali,base.state_mx_bc,ciudad_13
municipio_460,Abasolo,base.state_mx_gto,ciudad_130
municipio_462,Huanímaro,base.state_mx_gto,ciudad_131
municipio_464,León,base.state_mx_gto,ciudad_132
municipio_468,San Miguel de Allende,base.state_mx_gto,ciudad_133
municipio_470,San Diego de la Unión,base.state_mx_gto,ciudad_134
municipio_473,San Luis de la Paz,base.state_mx_gto,ciudad_135
municipio_479,Doctor Mora,base.state_mx_gto,ciudad_136
municipio_482,San José Iturbide,base.state_mx_gto,ciudad_137
municipio_484,Celaya,base.state_mx_gto,ciudad_138
municipio_486,Celaya,base.state_mx_gto,ciudad_139
municipio_42,Tijuana,base.state_mx_bc,ciudad_14
municipio_487,Apaseo el Grande,base.state_mx_gto,ciudad_140
municipio_489,Comonfort,base.state_mx_gto,ciudad_141
municipio_491,Comonfort,base.state_mx_gto,ciudad_142
municipio_492,Santa Cruz de Juventino Rosas,base.state_mx_gto,ciudad_143
municipio_494,Villagrán,base.state_mx_gto,ciudad_144
municipio_496,Cortazar,base.state_mx_gto,ciudad_145
municipio_497,Valle de Santiago,base.state_mx_gto,ciudad_146
municipio_499,Jaral del Progreso,base.state_mx_gto,ciudad_147
municipio_502,Apaseo el Alto,base.state_mx_gto,ciudad_148
municipio_504,Jerécuaro,base.state_mx_gto,ciudad_149
municipio_43,Playas de Rosarito,base.state_mx_bc,ciudad_15
municipio_507,Acámbaro,base.state_mx_gto,ciudad_150
municipio_510,Tarandacuao,base.state_mx_gto,ciudad_151
municipio_512,Moroleón,base.state_mx_gto,ciudad_152
municipio_513,Salvatierra,base.state_mx_gto,ciudad_153
municipio_515,Yuriria,base.state_mx_gto,ciudad_154
municipio_517,Santiago Maravatío,base.state_mx_gto,ciudad_155
municipio_519,Uriangato,base.state_mx_gto,ciudad_156
municipio_522,Chilpancingo de los Bravo,base.state_mx_gro,ciudad_157
municipio_524,Chilpancingo de los Bravo,base.state_mx_gro,ciudad_158
municipio_527,Tixtla de Guerrero,base.state_mx_gro,ciudad_159
municipio_47,Ensenada,base.state_mx_bc,ciudad_16
municipio_529,Ayutla de los Libres,base.state_mx_gro,ciudad_160
municipio_534,Acapulco de Juárez,base.state_mx_gro,ciudad_161
municipio_536,Juan R. Escudero,base.state_mx_gro,ciudad_162
municipio_538,San Marcos,base.state_mx_gro,ciudad_163
municipio_540,Iguala de la Independencia,base.state_mx_gro,ciudad_164
municipio_542,Huitzuco de los Figueroa,base.state_mx_gro,ciudad_165
municipio_544,Tepecoacuilco de Trujano,base.state_mx_gro,ciudad_166
municipio_546,Eduardo Neri,base.state_mx_gro,ciudad_167
municipio_548,Taxco de Alarcón,base.state_mx_gro,ciudad_168
municipio_550,Buenavista de Cuéllar,base.state_mx_gro,ciudad_169
municipio_48,Ensenada,base.state_mx_bc,ciudad_17
municipio_554,Teloloapan,base.state_mx_gro,ciudad_170
municipio_559,Arcelia,base.state_mx_gro,ciudad_171
municipio_562,Apaxtla,base.state_mx_gro,ciudad_172
municipio_565,Tlapehuala,base.state_mx_gro,ciudad_173
municipio_568,Cutzamala de Pinzón,base.state_mx_gro,ciudad_174
municipio_569,Pungarabato,base.state_mx_gro,ciudad_175
municipio_573,Coyuca de Catalán,base.state_mx_gro,ciudad_176
municipio_577,La Unión de Isidoro Montes de Oca,base.state_mx_gro,ciudad_177
municipio_580,Petatlán,base.state_mx_gro,ciudad_178
municipio_583,Zihuatanejo de Azueta,base.state_mx_gro,ciudad_179
municipio_49,La Paz,base.state_mx_bcs,ciudad_18
municipio_584,Técpan de Galeana,base.state_mx_gro,ciudad_180
municipio_586,Técpan de Galeana,base.state_mx_gro,ciudad_181
municipio_587,Técpan de Galeana,base.state_mx_gro,ciudad_182
municipio_588,Atoyac de Álvarez,base.state_mx_gro,ciudad_183
municipio_591,Benito Juárez,base.state_mx_gro,ciudad_184
municipio_592,Coyuca de Benítez,base.state_mx_gro,ciudad_185
municipio_594,Olinalá,base.state_mx_gro,ciudad_186
municipio_599,Chilapa de Álvarez,base.state_mx_gro,ciudad_187
municipio_605,Huamuxtitlán,base.state_mx_gro,ciudad_188
municipio_609,Tlapa de Comonfort,base.state_mx_gro,ciudad_189
municipio_51,La Paz,base.state_mx_bcs,ciudad_19
municipio_611,Tlalixtaquilla de Maldonado,base.state_mx_gro,ciudad_190
municipio_622,San Luis Acatlán,base.state_mx_gro,ciudad_191
municipio_630,Florencio Villarreal,base.state_mx_gro,ciudad_192
municipio_633,Copala,base.state_mx_gro,ciudad_193
municipio_635,Azoyú,base.state_mx_gro,ciudad_194
municipio_638,Marquelia,base.state_mx_gro,ciudad_195
municipio_640,Cuajinicuilapa,base.state_mx_gro,ciudad_196
municipio_643,Pachuca de Soto,base.state_mx_hgo,ciudad_197
municipio_656,Ixmiquilpan,base.state_mx_hgo,ciudad_198
municipio_658,Zimapán,base.state_mx_hgo,ciudad_199
municipio_17,Aguascalientes,base.state_mx_ags,ciudad_2
municipio_52,Los Cabos,base.state_mx_bcs,ciudad_20
municipio_667,Actopan,base.state_mx_hgo,ciudad_200
municipio_678,Tula de Allende,base.state_mx_hgo,ciudad_201
municipio_680,Tula de Allende,base.state_mx_hgo,ciudad_202
municipio_681,Tepeji del Río de Ocampo,base.state_mx_hgo,ciudad_203
municipio_686,Tlaxcoapan,base.state_mx_hgo,ciudad_204
municipio_690,Huejutla de Reyes,base.state_mx_hgo,ciudad_205
municipio_722,Tulancingo de Bravo,base.state_mx_hgo,ciudad_206
municipio_726,Santiago Tulantepec de Lugo Guerrero,base.state_mx_hgo,ciudad_207
municipio_729,Tizayuca,base.state_mx_hgo,ciudad_208
municipio_734,Apan,base.state_mx_hgo,ciudad_209
municipio_53,Los Cabos,base.state_mx_bcs,ciudad_21
municipio_739,Tepeapulco,base.state_mx_hgo,ciudad_210
municipio_741,Tepeapulco,base.state_mx_hgo,ciudad_211
municipio_742,Guadalajara,base.state_mx_jal,ciudad_212
